customer_id,full_name,email,phone,signup_date,city,age,status
1,customer 1,user1@mail.com,+91-9800000001,2024-05-19,Delhi,,inactive
2,Unknown Customer,unknown@email.com,9800000002,2024-02-28,Bengaluru,,active
3,Unknown Customer,unknown@email.com,+91-9800000003,2024-11-02,Delhi,,active
4,customer 4,user4@mail.com,,2024-03-02,Delhi,,inactive
6,Unknown Customer,unknown@email.com,,2024-08-01,Bengaluru,,inactive
8,Unknown Customer,user8@mail.com,,2025-01-16,Bengaluru,,inactive
9,Customer 9,user9@mail.com,9800000009,2024-06-27,Bengaluru,,active
10,Unknown Customer,user10@mail.com,9800000010,2025-01-24,Unknown,,active
11,Unknown Customer,unknown@email.com,,2024-10-16,Unknown,,inactive
12,Customer 12,unknown@email.com,,2025-02-11,Bengaluru,,inactive
14,Unknown Customer,unknown@email.com,+91-9800000014,2025-02-18,Unknown,,inactive
15,customer 15,user15@mail.com,,2025-03-04,Bengaluru,,unknown
16,Customer 16,user16@mail.com,,2024-09-25,Unknown,,inactive
17,Unknown Customer,unknown@email.com,,2024-12-13,Unknown,,inactive
18,Customer 18,unknown@email.com,,2025-03-12,Unknown,,inactive
19,customer 19,unknown@email.com,,2024-12-23,Unknown,,active
20,Customer 20,unknown@email.com,,2024-06-17,Mumbai,,inactive
21,Customer 21,unknown@email.com,,2024-04-19,Bengaluru,,active
22,customer 22,user22@mail.com,+91-9800000022,2025-02-07,Delhi,,inactive
23,customer 23,unknown@email.com,9800000023,2025-03-01,Unknown,,inactive
24,Unknown Customer,user24@mail.com,,2025-01-20,Unknown,,active
25,Unknown Customer,unknown@email.com,9800000025,2024-10-19,Delhi,,inactive
26,Unknown Customer,user26@mail.com,9800000026,2024-03-11,Bengaluru,,inactive
27,Customer 27,user27@mail.com,,2024-03-23,Bengaluru,,unknown
28,Unknown Customer,user28@mail.com,9800000028,2024-06-27,Delhi,,active
29,Unknown Customer,user29@mail.com,,2024-07-10,Mumbai,,inactive
31,Customer 31,user31@mail.com,+91-9800000031,2025-03-03,Mumbai,,active
33,Unknown Customer,user33@mail.com,9800000033,2024-05-29,Delhi,,unknown
34,Unknown Customer,user34@mail.com,+91-9800000034,2024-07-03,Delhi,,inactive
35,Customer 35,unknown@email.com,,2024-01-09,Bengaluru,,inactive
38,customer 38,user38@mail.com,,2024-09-20,Delhi,,inactive
40,Unknown Customer,unknown@email.com,,2024-07-16,Bengaluru,,inactive
41,Unknown Customer,unknown@email.com,+91-9800000041,2024-02-10,Delhi,,unknown
42,Customer 42,user42@mail.com,,2024-06-05,Delhi,,active
43,Unknown Customer,unknown@email.com,+91-9800000043,2024-06-29,Unknown,,inactive
44,Customer 44,user44@mail.com,,2025-02-14,Unknown,,active
47,Unknown Customer,unknown@email.com,9800000047,2024-01-14,Unknown,,inactive
48,Customer 48,unknown@email.com,,2024-04-19,Unknown,,inactive
49,customer 49,user49@mail.com,,2024-12-31,Delhi,,inactive
50,Customer 50,unknown@email.com,,2024-12-30,Unknown,,inactive
51,Customer 51,user51@mail.com,9800000051,2024-09-09,Delhi,,unknown
53,Unknown Customer,user53@mail.com,9800000053,2024-11-24,Delhi,,inactive
54,Unknown Customer,user54@mail.com,9800000054,2024-03-07,Delhi,,active
55,Unknown Customer,user55@mail.com,9800000055,2024-12-29,Mumbai,,unknown
56,Customer 56,unknown@email.com,9800000056,2024-10-09,Bengaluru,,inactive
