customer_id,full_name,email,phone,signup_date,city,age,status
1, customer 1 , USER1@MAIL.COM ,+91-9800000001,2024-05-19,delhi,-1,INACTIVE
2,,,9800000002,2024-02-28,Bengaluru,-1,active
3,,,+91-9800000003,2024-11-02,Delhi,22,Active
4, customer 4 , USER4@MAIL.COM ,,2024-03-02,Delhi,130,INACTIVE
5,, USER5@MAIL.COM ,,,delhi,22,INACTIVE
6,,,,2024-08-01,Bengaluru,25,INACTIVE
,, USER7@MAIL.COM ,,2024-07-04,Delhi,-1,active
8,,user8@mail.com,,2025-01-16,Bengaluru,37, inactive 
9,Customer 9,user9@mail.com,9800000009,2024-06-27,Bengaluru,31,Active
10,, USER10@MAIL.COM ,9800000010,2025-01-24,,25,Active
11,,,,2024-10-16,,, inactive 
12,Customer 12,,,2025-02-11,Bengaluru,22, inactive 
13,,,,bad-date,Bengaluru,25,active
14,,,+91-9800000014,2025-02-18,,37, inactive 
15, customer 15 ,user15@mail.com,,2025-03-04,Bengaluru,25,
16,Customer 16, USER16@MAIL.COM ,,2024-09-25,,31, inactive 
17,,,,2024-12-13,,22, inactive 
18,Customer 18,,,2025-03-12,,31, inactive 
19, customer 19 ,,,2024-12-23,,-1,Active
20,Customer 20,,,2024-06-17,Mumbai,25,INACTIVE
21,Customer 21,,,2024-04-19,Bengaluru,130,Active
22, customer 22 , USER22@MAIL.COM ,+91-9800000022,2025-02-07,Delhi,22, inactive 
23, customer 23 ,,9800000023,2025-03-01,,31,INACTIVE
24,, USER24@MAIL.COM ,,2025-01-20,,130,Active
25,,,9800000025,2024-10-19,delhi,130, inactive 
26,, USER26@MAIL.COM ,9800000026,2024-03-11,Bengaluru,22,INACTIVE
27,Customer 27,user27@mail.com,,2024-03-23,Bengaluru,130,
28,,user28@mail.com,9800000028,2024-06-27,Delhi,-1,active
29,, USER29@MAIL.COM ,,2024-07-10,Mumbai,22, inactive 
30,, USER30@MAIL.COM ,9800000030,bad-date,,31,INACTIVE
31,Customer 31,user31@mail.com,+91-9800000031,2025-03-03,Mumbai,-1,active
32, customer 32 ,,+91-9800000032,bad-date,,130,active
33,,user33@mail.com,9800000033,2024-05-29,delhi,22,
34,, USER34@MAIL.COM ,+91-9800000034,2024-07-03,Delhi,22,INACTIVE
35,Customer 35,,,2024-01-09,Bengaluru,25, inactive 
36,Customer 36,,9800000036,bad-date,,31,INACTIVE
37,, USER37@MAIL.COM ,9800000037,bad-date,Delhi,45,Active
38, customer 38 ,user38@mail.com,,2024-09-20,delhi,130, inactive 
, customer 39 ,,,2024-01-25,,, inactive 
40,,,,2024-07-16,Bengaluru,31,INACTIVE
41,,,+91-9800000041,2024-02-10,delhi,31,
42,Customer 42,user42@mail.com,,2024-06-05,delhi,-1,Active
43,,,+91-9800000043,2024-06-29,,-1, inactive 
44,Customer 44,user44@mail.com,,2025-02-14,,31,active
45,,user45@mail.com,9800000045,bad-date,Bengaluru,-1,
, customer 46 ,,,2025-01-25,Delhi,31,
47,,,9800000047,2024-01-14,,31,INACTIVE
48,Customer 48,,,2024-04-19,,45,INACTIVE
49, customer 49 ,user49@mail.com,,2024-12-31,delhi,25, inactive 
50,Customer 50,,,2024-12-30,,31, inactive 
51,Customer 51, USER51@MAIL.COM ,9800000051,2024-09-09,Delhi,,
52,, USER52@MAIL.COM ,+91-9800000052,bad-date,,130,
53,,user53@mail.com,9800000053,2024-11-24,Delhi,130,INACTIVE
54,, USER54@MAIL.COM ,9800000054,2024-03-07,delhi,22,active
55,, USER55@MAIL.COM ,9800000055,2024-12-29,Mumbai,,
56,Customer 56,,9800000056,2024-10-09,Bengaluru,31, inactive 
57,Customer 57, USER57@MAIL.COM ,9800000057,2024-11-15,,,
58,Customer 58,user58@mail.com,+91-9800000058,2025-01-29,,45,Active
